Hotfooted,ホットフット
Hypnotic Eye Jewel,催眠の眼のジュエル
Murderous Eye Jewel,凶暴な眼のジュエル
Searching Eye Jewel,探索する眼のジュエル
Ghastly Eye Jewel,恐怖の眼のジュエル
Viridian Jewel,ビリジアンジュエル
Cobalt Jewel,コバルトジュエル
Prismatic Jewel,プリズマティックジュエル
Crimson Jewel,クリムゾンジュエル
Timeless Jewel,タイムレスジュエル
Medium Cluster Jewel,クラスタージュエル (中)
Small Cluster Jewel,クラスタージュエル (小)
Large Cluster Jewel,クラスタージュエル (大)
Brawn,ブローン
Inertia,イナーシャ
Vampire's Might,ヴァンパイアの力
Survival Skills,サバイバルスキル
Inspired Learning,インスパイアードラーニング
Martial Artistry,武芸の技術
Spire of Stone,石の尖塔
Mantra of Flames,炎のマントラ
Combustibles,可燃物
The Naming Temporary,ザ・ネーミング・テンポラリー
Fragile Bloom,脆い開花
Rain of Splinters,レイン・オブ・スプリンター
Efficient Training,効率的な訓練
Atziri's Reign,アジリの支配
Blood Sacrifice,血の犠牲
Warlord's Reach,ウォーロードのリーチ
Conqueror's Efficiency,征服者の効率
Ancient Waystones,古代のウェイストーン
Zerphi's Youth,ゼルフィの若さ
Fragility,脆さ
Fireborn,炎生まれ
Energised Armour,エナジャイズドアマー
Might in All Forms,あらゆる形態の力
Izaro's Turmoil,イザロの混乱
The Vigil,監視者
Rapid Expansion,急速な拡大
Shattered Chains,砕かれた鎖
Weight of the Empire,帝国の重み
Emperor's Might,皇帝の力
Grand Spectrum,グランド・スペクトラム
Coated Shrapnel,コーテッド・シュラプネル
Underdog's Fury,アンダードッグの怒り
Primordial Might,原始の力
The Red Dream,赤き夢
The Red Nightmare,赤き悪夢
Winter Burial,冬の埋葬
Wildfire,発火伝染
Overwhelming Odds,圧倒的な劣勢
Might of the Meek,弱者の力
Tempered Flesh,鍛えられた肉体
Combat Focus,戦闘集中
Transcendent Flesh,超越的な肉体
Thread of Hope,希望の糸
Split Personality,分裂した個性
Replica Conqueror's Efficiency,レプリカ征服者の効率
Replica Fragile Bloom,レプリカ脆き脆き開花
Replica Blood Sacrifice,レプリカ血の犠牲
Replica Primordial Might,レプリカ原始の力
Dissolution of the Flesh,肉体の溶解
Forbidden Flame,禁断の炎
Divine Inferno,神聖なる炎
Firesong,炎の歌
Immutable Force,不変の力
Fluid Motion,流動的な動き
Intuitive Leap,直感的な跳躍
Lioneye's Fall,ライオネの落下
Survival Instincts,生存本能
Cannibalistic Habits,共食いの習慣
Apparitions,幻影
Hotheaded,燃え上がる怒り
Weight of Sin,罪の重み
Specialised,特化した
Miser of Misery,悲惨の吝嗇家
Careful Planning,注意深い計画
Hidden Potential,隠された可能性
Sacrificial Harvest,犠牲の収穫
Self-Flagellation,自己鞭打ち
Poacher's Aim,密猟者の狙い
Conqueror's Longevity,征服者の長寿
Chill of Corruption,腐敗の冷気
Hungry Abyss,飢えたアビス
Pacifism,パシフィズム
Pugilist,拳闘士
Cold Steel,コールド・スティール
Static Electricity,静電気
Volley Fire,散弾射撃
Spirit Guards,スピリットガード
Pitch Darkness,漆黒
Steel Spirit,スティールスピリット
Growing Agony,成長する苦痛
Cheap Construction,安価な建設
Hair Trigger,ヘアトリガー
Emperor's Cunning,皇帝の狡猾
Primordial Eminence,原初の卓越
The Green Dream,緑の夢
The Green Nightmare,緑の悪夢
Sudden Ignition,突然の発火
Ring of Blades,ブレードの輪
Fight for Survival,生き残りをかけた戦い
Omen on the Winds,風の兆し
Might and Influence,力と影響力
Collateral Damage,副次的損害
Choking Ash,窒息する灰
Straight and True,真っ直ぐで真実
Pure Talent,純粋な才能
The Golden Rule,黄金律
Tempered Spirit,鍛えられた精神
Transcendent Spirit,超越的な精神
Unnatural Instinct,不自然な本能
Toxic Vapours,有毒な蒸気
Seething Fury,煮え滾る憤激
Quickening Covenant,迅速な契約
Unearth Threshold,掘り起こしの閾値
Replica Hotheaded,レプリカ・ホットヘッド
Replica Pure Talent,レプリカ・純粋な才能
Replica Cheap Construction,レプリカ・安価な建設
Lord of Steel,鋼の支配者
Impossible Escape,不可能な脱出
Stormshroud,ストームシュラウド
To Dust,塵と化す
Eldritch Knowledge,エルドリッチの知識
Selfless Leadership,無私のリーダーシップ
Survival Secrets,サバイバルの秘訣
Fertile Mind,肥沃な精神
Fortified Legion,補強された軍団
Malicious Intent,悪意ある意図
Clear Mind,澄んだ精神
Brute Force Solution,力ずくの解決策
Vaal Sentencing,ヴァール判決
Fevered Mind,熱狂的な精神
Powerlessness,無力
Assassin's Haste,暗殺者の早足
Conqueror's Potency,征服者の効力
Mutated Growth,変異した成長
Corrupted Energy,コラプトしたエネルギー
Brittle Barrier,脆い障壁
Anatomical Knowledge,解剖学的知識
Energy From Within,内なるエネルギー
Healthy Mind,健康な精神
Rolling Flames,転がる炎
Winter's Bounty,冬の恵み
Spirited Response,機敏な対応
Dead Reckoning,死の計算
Reckless Defence,無謀な防御
Unstable Payload,不安定な弾頭
Emperor's Wit,皇帝の機知
Unending Hunger,終わりのない飢餓
Primordial Harmony,原初の調和
The Blue Dream,青き夢
The Blue Nightmare,青き悪夢
Violent Dead,激しい死
First Snow,初雪
Frozen Trail,凍れる軌跡
Inevitability,避けられぬ運命
Spreading Rot,広がる腐敗
Boundless Grasp,果てなき掌握
Hazardous Research,危険な研究
From Dust,塵より
The Long Winter,長き冬
Soul's Wick,魂の灯火
Tempered Mind,鍛えられた心
Transcendent Mind,超越の精神
Fortress Covenant,要塞の盟約
Replica Reckless Defence,レプリカ 無謀なる防御
Replica Unstable Payload,レプリカ 不安定な弾頭
Endless Misery,果てなき苦痛
Apex Mode,頂点モード
Nadir Mode,底点モード
Melding of the Flesh,肉体の融合
Forbidden Flesh,禁断の肉体
Witchbane,ウイッチベイン
Rational Doctrine,合理的教義
The Balance of Terror,恐怖の均衡
Emperor's Mastery,皇帝の熟達
The Anima Stone,魂の石
Watcher's Eye,監視者の眼
Sublime Vision,崇高なる幻視
Glorious Vanity,栄光の虚無
Militant Faith,軍神の信仰
Brutal Restraint,残虐なる抑制
Elegant Hubris,優雅なる傲慢
Lethal Pride,致死なるプライド
Voices,声
Megalomaniac,メガロマニアック
One With Nothing,無と一体
Kitava's Teachings,キタヴァの教え
The Interrogation,拷問
Calamitous Visions,破滅的な幻視
Natural Affinity,自然な親和性
The Siege,包囲網
Child of Violence,暴力の子
The Front Line,最前線
Tecrod's Gaze,テクロッドの凝視
Ulaman's Gaze,ウラマンの凝視
Kurgal's Gaze,クルガルの凝視
Amanamu's Gaze,アマナムの凝視
Bloodnotch,ブラッドノッチ
Warrior's Tale,戦士の物語
Ancestral Vision,祖霊の幻視
That Which Was Taken,奪われたもの
The Adorned,飾り立てられしもの
Replica Fragility,虚弱（レプリカ）
Replica Pacifism,平和主義（レプリカ）
Replica Powerlessness,無力（レプリカ）
The Perandus Pact,ペランダスの協定
The Light of Meaning,意味の光
Ruby,ルビー
Emerald,エメラルド
Sapphire,サファイア
Diamond,ダイヤモンド
Time-Lost Ruby,タイムロストルビー
Time-Lost Emerald,タイムロストエメラルド
Time-Lost Sapphire,タイムロストサファイア
Time-Lost Diamond,タイムロストダイヤモンド
Heroic Tragedy,英雄の悲劇
Undying Hate,不死の憎しみ
From Nothing,虚空より来たる
Controlled Metamorphosis,制御されし変態
Prism of Belief,信仰のプリズム
Heart of the Well,井戸の心臓
Against the Darkness,闇との対立
Bound By Destiny,運命の定め
Flesh Crucible,肉のるつぼ
