Cospri's Malice,コスプリの悪意
Ahkeli's Meadow,アケリの牧草地
Ahkeli's Mountain,アケリの山
Ahkeli's Valley,アケリの谷
Ashes of the Stars,星々の灰
Ashes of the Sun,太陽の灰
Andvarius,アンドヴァリアス
Angler's Plait,釣り人の三つ編み
Araku Tiki,アラク・ティキ
Ascent From Flesh,肉体からの昇天
Astramentis,アストラメンティス
Atziri's Foible,アツィリの愚行
Aul's Uprising,アウルの蜂起
Auxium,オーキシウム
Badge of the Brotherhood,兄弟団の記章
Bated Breath,息をのむ
Belt of the Deceiver,欺瞞者のベルト
Berek's Grip,ベレクの掌握
Berek's Pass,ベレクの通路
Berek's Respite,ベレクの休息
Bisco's Collar,ビスコの首飾り
Bisco's Leash,ビスコの鎖
Blackheart,ブラックハート
Blightwell,ブライトウェル
Bloodboil,ブラッドボイル
Bloodgrip,ブラッドグリップ
Blood of Corruption,汚染の血
Brinerot Mark,塩水腐敗の印
Call of the Brotherhood,兄弟の証
Carnage Heart,カーネイジ・ハート
Choir of the Storm,嵐の合唱
Circle of Anguish,苦悶の円環
Circle of Fear,恐怖の円環
Circle of Guilt,罪の輪
Circle of Nostalgia,郷愁の円環
Circle of Regret,後悔の円環
Coward's Chains,臆病者の鎖
Coward's Legacy,臆病者の遺産
Cyclopean Coil,単眼のコイル
Daresso's Salute,ダレッソの敬礼
Darkness Enthroned,即位した闇
Death Rush,死の激発
Demigod's Bounty,デミゴッドの恩恵
Demigod's Eye,半神の目
Demigod's Presence,半神の存在
Doedre's Damning,ドードゥリの糾弾
Doryani's Invitation,ドリヤニの招待
Dream Fragments,夢の断片
Dyadian Dawn,ディアディアン・ドーン
Emberwake,燃え盛る目覚め
Essence Worm,エッセンスワーム
Extractor Mentis,エクストラクター・メンティス
Eye of Chayula,チャユラの目
Eye of Innocence,無垢の目
Eyes of the Greatwolf,グレートウルフの目
Faminebind,飢饉の絆
Feastbind,饗宴の絆
Gifts from Above,天の恩恵
Gloomfang,グルームファング
Gluttony,強欲
Hallowed Ground,聖なる地
Headhunter,ヘッドハンター
Heartbound Loop,ハートバウンド・ループ
Hinekora's Sight,ヒネコラの視界
Hyperboreus,ヒュペルボレウス
Hyrri's Truth,ヒリの真実
Icefang Orbit,アイスファングの軌道
Immortal Flesh,不死の肉体
Impresence,インプレゼンス
Impossible Escape,不可能な脱出
Kaom's Sign,カオムの印
Kaom's Way,カオムの道
Karui Charge,カルーイチャージ
Karui Ward,カルーイの護符
Kikazaru,キカザル
Le Heup of All,すべてのル・ヒュープ
Lori's Lantern,ロリのランタン
Malachai's Artifice,マラカイの策略
Maligaro's Cruelty,マリガロのクルーエルティ
Maligaro's Restraint,マリガロの拘束
Mark of Submission,服従の印
Mark of the Elder,エルダーの印
Mark of the Shaper,シェイパーの印
Marylene's Fallacy,マリレーンの誤謬
Meginord's Girdle,メギノルドのベルト
Ming's Heart,ミンの心臓
Mokou's Embrace,モコウの抱擁
Mutewind Seal,無風の封印
Natural Hierarchy,自然な階層
Ngamahu's Sign,ナマフの印
Ngamahu Tiki,ンガマフ・ティキ
Night's Hold,夜の掌握
Perandus Blazon,ペランダスの紋章
Perandus Signet,ペランダス・シグネット
Perquil's Toe,パーキルのつま先
Perseverance,忍耐
Praxis,プラクシス
Precursor's Emblem,先駆者の紋章
Presence of Chayula,チャウラの存在
Prismweave,プリズムウィーブ
Putembo's Meadow,プテンボの牧草地
Putembo's Mountain,プテンボの山
Putembo's Valley,プテンボの谷
Pyre,業火
Rashkaldor's Patience,ラシュカルドールの忍耐
Redblade Band,レッドブレードバンド
Rigwald's Crest,リグワルドの紋章
Rigwald's Curse,リグワルドの呪い
Romira's Banquet,ロミラのご馳走
Ryslatha's Coil,リスラーサのコイル
Sacrificial Heart,生贄の心臓
Shaper's Seed,シェイパーの種
Shavronne's Revelation,シャヴロンの啓示
Sibyl's Lament,シビルの嘆き
Sidhebreath,シードブレス
Siegebreaker,包囲破壊者
Snakepit,スネークピット
Solstice Vigil,冬至の監視
Soul Tether,魂を繋ぐ綱
Soulthirst,ソウルサースト
Star of Wraeclast,レアクラストの星
Stone of Lazhwar,ラズワールの石
Stormfire,ストームファイヤー
String of Servitude,従属の紐
Sunblast,サンブラスト
Talisman of the Victor,勝利者のタリスマン
Tasalio's Sign,タサリオの印
Tavukai,タヴカイ
Tear of Purity,純粋の涙
The Anvil,鉄床
The Ascetic,禁欲者
The Aylardex,アイラーデックス
The Effigon,エフィゴン
The Flow Untethered,解き放たれた流れ
The Halcyon,ザ・ハルシオン
The Hungry Loop,飢えたる輪
The Ignomon,ザ・イグノモン
The Jinxed Juju,ジンクスド・ジュジュ
The Magnate,巨頭
The Nomad,遊牧民
The Pandemonius,パンデモニアス
The Pariah,追放者
The Primordial Chain,原始の鎖
The Retch,吐き気
The Tactician,戦術家
The Taming,飼い慣らし
The Warden's Brand,ウォーデンの刻印
Thief's Torment,泥棒の苦悩
Timeclasp,タイムクラスプ
Timetwist,タイムツイスト
Umbilicus Immortalis,不滅の臍帯
Ungil's Harmony,アンギルの調和
Uzaza's Meadow,ウザザの牧草地
Uzaza's Mountain,ウザザの山
Uzaza's Valley,ウザザの谷
Valako's Sign,ヴァラコの印
Valyrium,ヴァリリウム
Venopuncture,ヴェノパンクチャー
Ventor's Gamble,ヴェンターのギャンブル
Victario's Acuity,ビクタリオの鋭敏さ
Vivinsect,ヴィヴィンセクト
Voice of the Storm,嵐の声
Voideye,ヴォイドアイ
Voidheart,ヴォイドハート
Voll's Devotion,ヴォルの信心
Warped Timepiece,歪んだ懐中時計
Winterheart,ウィンターハート
Winterweave,ウィンターウィーブ
Wurm's Molt,ワームの脱皮
Xoph's Blood,ゾフの血
Xoph's Heart,ゾフの心臓
Yoke of Suffering,苦痛の頸木
Zerphi's Heart,ザーフィの心臓
Abberath's Hooves,アベラス・フーフス
Abyssus,アビュッソス
Aegis Aurora,イージス・アウロラ
Ahn's Contempt,アーンズ・コンテンプト
Ahn's Heritage,アーンの遺産
Alberon's Warpath,アルベロンの戦靴
Allelopathy,アレロパシー
Alpha's Howl,アルファの遠吠え
Ambu's Charge,アンブのチャージ
Apep's Slumber,アペップの眠り
Apep's Supremacy,アペプの優越性
Architect's Hand,建築家の手
Asenath's Chant,アセナス・チャント
Asenath's Gentle Touch,アセナスの優しい指先
Asenath's Mark,アセナスの印
Ashrend,アッシュレンド
Asphyxia's Wrath,アスフィクシアの憤怒
Atziri's Acuity,アッツィリの鋭敏さ
Atziri's Mirror,アジリの鏡
Atziri's Reflection,アジリの反映
Atziri's Splendour,アッツィリの栄耀
Atziri's Step,アッツィリの歩み
Aukuna's Will,アウクナの意志
Aurseize,オアシーズ
Belly of the Beast,魔獣の腹
Bitterbind Point,ビターバインド・ポイント
Blackgleam,ブラックグリーム
Black Sun Crest,黒い太陽の紋章
Blasphemer's Grasp,ブラスフェマーズ・グラスプ
Bloodbond,ブラッドボンド
Bones of Ullr,ウルルの骨
Bramblejack,ブランブルジャック
Breathstealer,ブレスティーラー
Brinerot Flag,ブリネロット・フラッグ
Brinerot Whalers,ブリネロット・ホイラーズ
Briskwrap,ブリスクラップ
Broadstroke,ブロードストローク
Broken Faith,ブロークン・フェイス
Bronn's Lithe,ブロンのしなやかさ
Bubonic Trail,ブボニック・トレイル
Carcass Jack,カーカスジャック
Chains of Command,チェインズ・オブ・コマンド
Chalice of Horrors,恐怖の聖杯
Chernobog's Pillar,チェルノボグの柱
Cherrubim's Maleficence,ケルビムの悪意
Chitus' Apex,チトゥスの頂点
Cloak of Defiance,反抗のクローク
Cloak of Flame,炎のクローク
Cloak of Tawm'r Isley,タムズ・イー・イズリーズ・クローク
Command of the Pit,奈落の支配
Cospri's Will,コスプリの意志
Cowl of the Ceraunophile,ケラウノファイルの兜
Cowl of the Cryophile,クライオファイルの兜
Cowl of the Thermophile,サーモファイルの兜
Cragfall,クラグフォール
Craghead,クラグヘッド
Craiceann's Carapace,クライシアンズ・カラペース
Craiceann's Chitin,クライシアンズ・カイティン
Craiceann's Pincers,クライシアンズ・ピンサーズ
Craiceann's Tracks,クライシアンズ・トラックス
Crest of Perandus,ペランダスの紋章
Crown of Eyes,目の王冠
Crown of the Pale King,ペールキングの王冠
Crown of the Tyrant,暴君の王冠
Crown of Thorns,茨の冠
Crystal Vault,クリスタル・ヴォールト
Curtain Call,カーテンコール
Dance of the Offered,ダンス・オブ・ジ・オファード
Daresso's Courage,ダレソスの勇気
Daresso's Defiance,ダレッソの反抗
Darkray Vectors,ダークレイ・ベクトル
Death's Door,デス・ドア
Death's Oath,デスオース
Deerstalker,ディアストーカー
Deidbell,ディードベル
Deidbellow,デイデベロウ
Demigod's Beacon,デミゴッドの灯火
Demigod's Dominance,デミゴッズ・ドミネンス
Demigod's Stride,デミゴッドの歩み
Demigod's Touch,デミゴッドの指先
Demigod's Triumph,デミゴッドの勝利
Demon Stitcher,デーモン・ステッチャー
Dendrobate,デンドロベイト
Devoto's Devotion,デヴォートの信心
Dialla's Malefaction,ディアーラズ・マレファクション
Doedre's Malevolence,ドエドレズ・マレボレンス
Doedre's Scorn,ドードレの嘲り
Doedre's Skin,ドエドレズ・スキン
Doedre's Tenure,ドードゥリの才能
Doryani's Delusion,ドリヤニの妄執
Doryani's Fist,ドリヤニの拳
Drillneck,ドリルネック
Duskblight,ダスクブライト
Dusktoe,ダスクトー
Eber's Unification,エバーズ・ユニフィケーション
Empire's Grasp,帝国の掴み
Esh's Mirror,イシュの鏡
Esh's Visage,イシュの顔
Ezomyte Hold,エゾミート・ホールド
Ezomyte Peak,エゾマイトピーク
Facebreaker,フェイスブレイカー
Fairgraves' Tricorne,フェアグレイヴスのトライコーン
Farrul's Bite,ファーラルズ・バイト
Farrul's Chase,ファーラルズ・チェイス
Farrul's Fur,ファーラルズ・ファー
Farrul's Pounce,ファーラルズ・パウンス
Fenumus' Shroud,フェヌムス・シュラウド
Fenumus' Spinnerets,フェヌムス・スピナレッツ
Fenumus' Toxins,フェヌムス・トキシンズ
Fenumus' Weave,フェヌムス・ウィーブ
Flamesight,フレイムサイト
Flesh and Spirit,肉と魂
Fox's Fortune,フォックスズ・フォーチュン
Foxshade,フォックスシェード
Fractal Thoughts,フラクタル・シンク
Frostferno,フロストフェルノ
Galesight,ゲイルサイト
Gang's Momentum,ギャングのモーメンタム
Garb of the Ephemeral,エフェメラルの装束
Garukhan's Flight,ガルカンス・フライト
Geofri's Crest,ジェオフリーズクレスト
Geofri's Legacy,ジェオフリの遺産
Geofri's Sanctuary,ジェオフリーズ・サンクチュアリ
Giantsbane,ジャイアンツベイン
Glitterdisc,グリッターディスク
Goldrim,ゴールドリム
Goldwyrm,ゴールドウィルム
Gorgon's Gaze,ゴルゴンズ・ゲイズ
Great Old One's Ward,グレート・オールド・ワンの守り
Greed's Embrace,貪欲の抱擁
Greedtrap,グリードトラップ
Grip of the Council,グリップ・オブ・ザ・カウンシル
Gruthkul's Pelt,グルスカルズ・ペルト
Haemophilia,ヘモフィリア
Hale Negator,ヘイル・ネゲーター
Heatshiver,ヒートシヴァー
Heretic's Veil,ヘレティックス・ベール
Honourhome,オナーホーム
Hrimburn,フリムバーン
Hrimnor's Resolve,フリムノアズリゾルブ
Hrimsorrow,フリムソー
Hyrri's Bite,ヒュイリの噛み跡
Hyrri's Demise,ヒュイリの滅亡
Hyrri's Ire,ハイリの怒り
Icetomb,アイストゥーム
Incandescent Heart,インカンデセントハート
Indigon,インディゴン
Infernal Mantle,インファーナルマントル
Inpulsa's Broken Heart,インパルサズ・ブロークンハート
Invictus Solaris,インウィクタス・ソラリス
Inya's Epiphany,イニャズ・エピファニー
Iron Heart,アイアン・ハート
Jaws of Agony,アゴニーの顎
Kalisa's Grace,カリサズ・グレース
Kaltenhalt,カルテンハルト
Kaltensoul,カルテンソウル
Kaom's Heart,カオムの心臓
Kaom's Roots,カオムの根
Kingsguard,キングスガード
Kintsugi,キンツギ
Kitava's Thirst,キタヴァズ・サースト
Kongming's Stratagem,孔明の策略
Leer Cast,リアー・キャスト
Leper's Alms,レパーズ・アルムス
Lightbane Raiment,ライトベインライメント
Lightning Coil,ライトニング・コイル
Light of Lunaris,ルナリスの光
Lightpoacher,ライトポアチャー
Lioneye's Paws,ライオネイズポウズ
Lioneye's Remorse,ライオネイズの悔恨
Lioneye's Vision,ライオネイズ・ビジョン
Lochtonial Caress,ロクトニアルの愛撫
Loreweave,ローリーヴ
Lycosidae,コモリグモ
Machina Mitts,マシーナ・ミッツ
Magna Eclipsis,マグナ・エクリプシス
Malachai's Awakening,マラカイズ・アウェイクニング
Malachai's Loop,マラカイの輪
Malachai's Mark,マラカイズ・マーク
Malachai's Simula,マラカイのシミュラクラム
Malachai's Vision,マラカイズ・ビジョン
Maligaro's Lens,マリガロのレンズ
Maligaro's Virtuosity,マリガロの妙技
Maloney's Mechanism,マロニーの機構
Maloney's Nightfall,マロニーの黄昏
March of the Legion,リージョンの行進
Mark of the Red Covenant,マーク・オブ・ザ・レッド・コヴェナント
Martyr's Crown,マーターズ・クラウン
Mask of the Spirit Drinker,マスク・オブ・ザ・スピリット・ドリンカー
Mask of the Stitched Demon,縫合されし悪魔の仮面
Mask of the Tribunal,審判官の仮面
Matua Tupuna,マトゥア・ツプナ
Maw of Conquest,征服者の顎
Meginord's Vise,メギノルドのバイス
Memory Vault,メモリー・ヴォールト
Mind of the Council,評議会の精神
Mindspiral,マインドスパイラル
Mutewind Pennant,ミューテウィンド・ペナント
Mutewind Whispersteps,ミューテウィンド・ウィスパーズテップス
Nomic's Storm,ノミックの嵐
Null and Void,虚無と虚無
Nimis,ニミス
Obscurantis,オブスキュランティス
Offering to the Serpent,蛇への捧げ物
Omeyocan,オメヨカン
Ondar's Clasp,オンダースクラスプ
Victario's Flight,ヴィクタリオの疾走
Oskarm,オスカーン
Perepiteia,ペレピテイア
Prism Guardian,プリズム・ガーディアン
Queen of the Forest,森の女王
Rainbowstride,レインボーストライド
Ralakesh's Impatience,ララケシュズ・インペイシェンス
Rathpith Globe,ラスピスの球体
Rat's Nest,ラッツネスト
Rearguard,リアガード
Reckless Defence,無謀な防御
Redblade Banner,レッドブレードの紋章旗
Redblade Tramplers,レッドブレイド・トランプラーズ
Repentance,リペンタンス
Rigwald's Quills,リグウォルドの棘
Rime Gaze,ライムゲイズム・ゲイズ
Rise of the Phoenix,フェニックスの復活
Rotting Legion,腐敗するリージョン
Sadima's Touch,サディマの指先
Saemus' Gift,セームスの贈り物
Saffell's Frame,サフェルのフレーム
Saqawal's Flock,サカワルズ・フロック
Saqawal's Nest,サカワルズ・ネスト
Saqawal's Talons,サカワルズ・タロンズ
Saqawal's Winds,サカワルズ・ウィンズ
Scold's Bridle,叱責の手綱
Sentari's Answer,センタリの答え
Seven-League Step,セブンリーグ・ステップ
Shackles of the Wretched,哀れな者の手枷
Shadows and Dust,影と塵
Shadowstitch,シャドウ・ステッチ
Shaper's Touch,シェイパーズ・タッチ
Shavronne's Gambit,シャヴロンズ・ギャンビット
Shavronne's Pace,シャヴロンヌの歩み
Shavronne's Wrappings,シャヴロンヌのラップウィングス
Shroud of the Lightless,シュラウド・オブ・ザ・ライトレス
Sin Trek,シン・トレック
Skin of the Lords,スキン・オブ・ザ・ロード
Skin of the Loyal,忠臣の皮膚
Skirmish,スカーミッシュ
Skullhead,スカルヘッド
Skyforth,スカイフォース
Slavedriver's Hand,スレイブドライバーズ・ハンド
Slitherpinch,スリザーピンチ
Snakebite,スネークバイト
Solaris Lorica,ソラリスロリカ
Soul Mantle,魂の外套
Soul Strike,ソウル・ストライク
Southbound,サウスバウンド
Speaker's Wreath,スピーカーズ・リース
Sporeguard,スポアガード
Springleaf,スプリングリーフ
Starkonja's Head,スターコンジャの頭
Steppan Eard,ステッパン・イアード
Stormcharger,ストームチャージャー
Storm's Gift,嵐の贈り物
Sundance,サンダンス
Sunspite,サンスパイト
Surgebinders,サージバインダーズ
Tabula Rasa,タビュラ・ラサ
The Anticipation,アンティシペーション
The Baron,バロン
The Beast Fur Shawl,タムズ・イー・イズリーズ・ショール
The Blood Dance,ブラッドダンス
The Brass Dome,真鍮のドーム
The Brine Crown,ブライネ・クラウン
The Bringer of Rain,雨をもたらすもの
The Broken Crown,壊れた王冠
The Coming Calamity,迫り来る災難
The Covenant,契約
The Deep One's Hide,ディープ・ワンの皮
The Devouring Diadem,むさぼり食う王冠
The Embalmer,ジ・エンバーマー
The Eternal Apple,エターナル・アップル
The Eternity Shroud,永遠のシュラウド
The Formless Flame,フォームレス・フレイム
The Formless Inferno,フォームレス・インフェルノ
The Fracturing Spinner,フラクチャリング・スピナー
The Gull,ザ・ガル
The Infinite Pursuit,無限の追跡
The Iron Fortress,鉄の要塞
The Oak,オーク
The Peregrine,ザ・ペレグリン
The Perfect Form,パーフェクト・フォーム
The Queen's Hunger,女王の飢餓
The Rat Cage,鼠の檻
The Red Trail,赤き軌道
The Restless Ward,レストレス・ウォード
The Signal Fire,シグナル・ファイア
The Snowblind Grace,スノーブラインド・グレース
The Stampede,スタンピード
The Surrender,降参
The Tempest's Binding,ザ・テンペストズ・バインディング
The Three Dragons,三頭のドラゴン
The Unshattered Will,アンシャッタード・ウィル
The Vertex,バーテックス
Thirst for Horrors,恐怖への渇望
Thousand Ribbons,サウザンドリボン
Thousand Teeth Temu,サウザンド・ティース・テム
Three-step Assault,スリーステップ・アサルト
Thunderfist,サンダーフィスト
Thundersight,サンダーサイト
Tinkerskin,ティンカーズキン
Titucius' Span,ティトゥキウスのスパン
Tombfist,トゥームフィスト
Torchoak Step,トーチオーク・ステップ
Triad Grip,トライアド・グリップ
Trolltimber Spire,トロールティンバー・スパイア
Tukohama's Fortress,ツコハマの要塞
Unyielding Flame,不屈の炎
Vaal Caress,ヴァールカレス
Veil of the Night,夜の帳
Veruso's Battering Rams,ヴェルーソの破城槌
Victario's Charity,ビクトリオの慈悲
Victario's Influence,ビクトリオズ・インフルエンス
Viper's Scales,バイパーズ・スケイルズ
Vis Mortis,ヴィズ・モーティス
Vixen's Entrapment,ヴィクセンの罠
Vix Lunaris,ヴィックス・ルナリス
Voidbringer,ボイドブリンガー
Voidfletcher,ヴォイドフレッチャー
Voidwalker,ボイドウォーカー
Volkuur's Guidance,ボルクールズ・ガイダンス
Voll's Protector,ヴォールの保護具
Voll's Vision,ヴォールズ・ビジョン
Wake of Destruction,破滅の軌跡
Wall of Brambles,ウォール・オブ・ブランプス
Wanderlust,ワンダーラスト
Whakatutuki o Matua,ワカツツキ・オ・マツア
Wheel of the Stormsail,ストームセイルの輪
Wildwrap,ワイルドラップ
Windscream,ウィンドスクリーム
Windshriek,ウィンドシュリーク
Winds of Change,ウィンズ・オブ・チェンジ
Wondertrap,ワンダートラップ
Worldcarver,ワールドカーヴァー
Wraithlord,レイスロード
Wreath of Phrecia,フレシアの装飾冠
Wyrmsign,ワイァームサイン
Ylfeban's Trickery,イルフェバンズ・トリッキー
Yriel's Fostering,ユリエルの養育
Zahndethus' Cassock,ザンデトゥスのカソック
Zeel's Amplifier,ゼールの増幅器
Atziri's Promise,アジリの約束
Blood of the Karui,カルイの血
Bottled Faith,ボトルド・フェイス
Cinderswallow Urn,シンダースワロウの骨壺
Coralito's Signature,コラリートのシグネチャー
Coruscating Elixir,コラスケイティング・エリクサー
Divination Distillate,ディビネーション・ディスティレート
Doedre's Elixir,ドエドレの秘薬
Dying Sun,ダイイング・サン
Forbidden Taste,禁断の味覚
Kiara's Determination,キアラの決意
Lavianga's Spirit,ラヴィアンガの心
Lion's Roar,ライオンズ・ロア
Rotgut,ロットガット
Rumi's Concoction,ルミの調合薬
Sin's Rebirth,シンの転生
Soul Catcher,ソウル・キャッチャー
Soul Ripper,ソウル・リッパー
Taste of Hate,テイスト・オブ・ヘイト
The Overflowing Chalice,溢れる聖杯
The Sorrow of the Divine,神の悲しみ
The Wise Oak,賢き樫の木
The Writhing Jar,うごめく瓶
Vessel of Vinktar,ヴィンクターの器
Witchfire Brew,ウィッチファイア・ブリュー
Zerphi's Last Breath,ゼルフィの最後の息吹
Anatomical Knowledge,解剖学的知識
Ancient Waystones,古代のウェイストーン
Apparitions,幻影
To Dust,塵と化す
Assassin's Haste,暗殺者の早足
Atziri's Reign,アジリの支配
Blood Sacrifice,血の犠牲
Brawn,ブローン
Brittle Barrier,脆い障壁
Brutal Restraint,残虐なる抑制
Brute Force Solution,力ずくの解決策
Fortified Legion,補強された軍団
Careful Planning,注意深い計画
Cheap Construction,安価な建設
Chill of Corruption,腐敗の冷気
Clear Mind,澄んだ精神
Coated Shrapnel,コーテッド・シュラプネル
Cold Steel,コールド・スティール
Collateral Damage,副次的損害
Combat Focus,戦闘集中
Combustibles,可燃物
Conqueror's Efficiency,征服者の効率
Conqueror's Longevity,征服者の長寿
Conqueror's Potency,征服者の効力
Corrupted Energy,コラプトしたエネルギー
Dead Reckoning,死の計算
Divide and Conquer,分割と征服
Efficient Training,効率的な訓練
Eldritch Knowledge,エルドリッチの知識
Elegant Hubris,優雅なる傲慢
Emperor's Cunning,皇帝の狡猾
Emperor's Mastery,皇帝の熟達
Emperor's Might,皇帝の力
Emperor's Wit,皇帝の機知
Energised Armour,エナジャイズドアマー
Energy From Within,内なるエネルギー
Fertile Mind,肥沃な精神
Fevered Mind,熱狂的な精神
Fight for Survival,生き残りをかけた戦い
Fireborn,炎生まれ
First Snow,初雪
Fluid Motion,流動的な動き
Fortress Covenant,要塞の盟約
Fragile Bloom,脆い開花
Fragility,脆さ
From Dust,塵より
Frozen Trail,凍れる軌跡
Glorious Vanity,栄光の虚無
Grand Spectrum,グランド・スペクトラム
Growing Agony,成長する苦痛
Hair Trigger,ヘアトリガー
Hazardous Research,危険な研究
Healthy Mind,健康な精神
Hidden Potential,隠された可能性
Hungry Abyss,飢えたアビス
Inertia,イナーシャ
Inevitability,避けられぬ運命
Inspired Learning,インスパイアードラーニング
Intuitive Leap,直感的な跳躍
Izaro's Turmoil,イザロの混乱
Lethal Pride,致死なるプライド
Lioneye's Fall,ライオネの落下
Malicious Intent,悪意ある意図
Mantra of Flames,炎のマントラ
Martial Artistry,武芸の技術
Might and Influence,力と影響力
Might in All Forms,あらゆる形態の力
Might of the Meek,弱者の力
Militant Faith,軍神の信仰
Mutated Growth,変異した成長
Omen on the Winds,風の兆し
Overwhelming Odds,圧倒的な劣勢
Pacifism,パシフィズム
Pitch Darkness,漆黒
